#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,location
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:33:30Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:33:40Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:33:50Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:34:00Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:34:10Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:34:20Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:34:30Z,2,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:34:40Z,47,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:34:50Z,122,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:35:00Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:35:10Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:35:20Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:35:30Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:35:40Z,111.33333333333333,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:35:50Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:36:00Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:36:10Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:36:20Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:36:30Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:36:40Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:36:50Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:37:00Z,58,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:37:10Z,90,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:37:20Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:37:30Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:37:40Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:37:50Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:38:00Z,58,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:38:10Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:38:20Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:38:30Z,58,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:38:40Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:38:50Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:39:00Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:39:10Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:39:20Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:39:30Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:39:40Z,58,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:39:50Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:40:00Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:40:10Z,68.66666666666667,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:40:20Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:40:30Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:40:40Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:40:50Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:41:00Z,26,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:41:10Z,0,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:41:20Z,0,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:41:30Z,0,ECU_control,telemetry_data,senzori,test
,,0,2025-06-29T05:55:54.057958502Z,2025-06-29T06:55:54.057958502Z,2025-06-29T06:41:40Z,0,ECU_control,telemetry_data,senzori,test
