#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,location
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:56:30Z,224.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:56:40Z,147.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:56:50Z,102.33333333333333,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:57:00Z,199,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:57:10Z,114.75,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:57:20Z,59.666666666666664,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:57:30Z,130.66666666666666,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:57:40Z,131.75,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:57:50Z,107.66666666666667,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:58:00Z,125.66666666666667,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:58:10Z,109.25,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:58:20Z,133.66666666666666,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T15:58:30Z,162.66666666666666,ECU_control,telemetry_data,sensor,car
